id,subscription,year,defect
1,high,1,1
2,high,1,1
3,high,1,1
4,high,1,1
5,high,1,1
6,high,1,1
7,high,1,1
8,high,1,1
9,high,1,1
10,high,1,1
11,high,1,1
12,high,1,1
13,high,1,1
14,high,1,1
15,high,1,1
16,high,1,1
17,high,1,1
18,high,1,1
19,high,1,1
20,high,1,1
21,high,1,1
22,high,1,1
23,high,1,1
24,high,1,1
25,high,1,1
26,high,1,1
27,high,1,1
28,high,1,1
29,high,1,1
30,high,1,1
31,high,1,1
32,high,1,1
33,high,1,1
34,high,1,1
35,high,1,1
36,high,1,1
37,high,1,1
38,high,1,1
39,high,1,1
40,high,1,1
41,high,1,1
42,high,1,1
43,high,1,1
44,high,1,1
45,high,1,1
46,high,1,1
47,high,1,1
48,high,1,1
49,high,1,1
50,high,1,1
51,high,1,1
52,high,1,1
53,high,1,1
54,high,1,1
55,high,1,1
56,high,1,1
57,high,1,1
58,high,1,1
59,high,1,1
60,high,1,1
61,high,1,1
62,high,1,1
63,high,1,1
64,high,1,1
65,high,1,1
66,high,1,1
67,high,1,1
68,high,1,1
69,high,1,1
70,high,1,1
71,high,1,1
72,high,1,1
73,high,1,1
74,high,1,1
75,high,1,1
76,high,1,1
77,high,1,1
78,high,1,1
79,high,1,1
80,high,1,1
81,high,1,1
82,high,1,1
83,high,1,1
84,high,1,1
85,high,1,1
86,high,1,1
87,high,1,1
88,high,1,1
89,high,1,1
90,high,1,1
91,high,1,1
92,high,1,1
93,high,1,1
94,high,1,1
95,high,1,1
96,high,1,1
97,high,1,1
98,high,1,1
99,high,1,1
100,high,1,1
101,high,1,1
102,high,1,1
103,high,1,1
104,high,1,1
105,high,1,1
106,high,1,1
107,high,1,1
108,high,1,1
109,high,1,1
110,high,1,1
111,high,1,1
112,high,1,1
113,high,1,1
114,high,1,1
115,high,1,1
116,high,1,1
117,high,1,1
118,high,1,1
119,high,1,1
120,high,1,1
121,high,1,1
122,high,1,1
123,high,1,1
124,high,1,1
125,high,1,1
126,high,1,1
127,high,1,1
128,high,1,1
129,high,1,1
130,high,1,1
131,high,1,1
132,high,1,0
132,high,2,1
133,high,1,0
133,high,2,1
134,high,1,0
134,high,2,1
135,high,1,0
135,high,2,1
136,high,1,0
136,high,2,1
137,high,1,0
137,high,2,1
138,high,1,0
138,high,2,1
139,high,1,0
139,high,2,1
140,high,1,0
140,high,2,1
141,high,1,0
141,high,2,1
142,high,1,0
142,high,2,1
143,high,1,0
143,high,2,1
144,high,1,0
144,high,2,1
145,high,1,0
145,high,2,1
146,high,1,0
146,high,2,1
147,high,1,0
147,high,2,1
148,high,1,0
148,high,2,1
149,high,1,0
149,high,2,1
150,high,1,0
150,high,2,1
151,high,1,0
151,high,2,1
152,high,1,0
152,high,2,1
153,high,1,0
153,high,2,1
154,high,1,0
154,high,2,1
155,high,1,0
155,high,2,1
156,high,1,0
156,high,2,1
157,high,1,0
157,high,2,1
158,high,1,0
158,high,2,1
159,high,1,0
159,high,2,1
160,high,1,0
160,high,2,1
161,high,1,0
161,high,2,1
162,high,1,0
162,high,2,1
163,high,1,0
163,high,2,1
164,high,1,0
164,high,2,1
165,high,1,0
165,high,2,1
166,high,1,0
166,high,2,1
167,high,1,0
167,high,2,1
168,high,1,0
168,high,2,1
169,high,1,0
169,high,2,1
170,high,1,0
170,high,2,1
171,high,1,0
171,high,2,1
172,high,1,0
172,high,2,1
173,high,1,0
173,high,2,1
174,high,1,0
174,high,2,1
175,high,1,0
175,high,2,1
176,high,1,0
176,high,2,1
177,high,1,0
177,high,2,1
178,high,1,0
178,high,2,1
179,high,1,0
179,high,2,1
180,high,1,0
180,high,2,1
181,high,1,0
181,high,2,1
182,high,1,0
182,high,2,1
183,high,1,0
183,high,2,1
184,high,1,0
184,high,2,1
185,high,1,0
185,high,2,1
186,high,1,0
186,high,2,1
187,high,1,0
187,high,2,1
188,high,1,0
188,high,2,1
189,high,1,0
189,high,2,1
190,high,1,0
190,high,2,1
191,high,1,0
191,high,2,1
192,high,1,0
192,high,2,1
193,high,1,0
193,high,2,1
194,high,1,0
194,high,2,1
195,high,1,0
195,high,2,1
196,high,1,0
196,high,2,1
197,high,1,0
197,high,2,1
198,high,1,0
198,high,2,1
199,high,1,0
199,high,2,1
200,high,1,0
200,high,2,1
201,high,1,0
201,high,2,1
202,high,1,0
202,high,2,1
203,high,1,0
203,high,2,1
204,high,1,0
204,high,2,1
205,high,1,0
205,high,2,1
206,high,1,0
206,high,2,1
207,high,1,0
207,high,2,1
208,high,1,0
208,high,2,1
209,high,1,0
209,high,2,1
210,high,1,0
210,high,2,1
211,high,1,0
211,high,2,1
212,high,1,0
212,high,2,1
213,high,1,0
213,high,2,1
214,high,1,0
214,high,2,1
215,high,1,0
215,high,2,1
216,high,1,0
216,high,2,1
217,high,1,0
217,high,2,1
218,high,1,0
218,high,2,1
219,high,1,0
219,high,2,1
220,high,1,0
220,high,2,1
221,high,1,0
221,high,2,1
222,high,1,0
222,high,2,1
223,high,1,0
223,high,2,1
224,high,1,0
224,high,2,1
225,high,1,0
225,high,2,1
226,high,1,0
226,high,2,1
227,high,1,0
227,high,2,1
228,high,1,0
228,high,2,1
229,high,1,0
229,high,2,1
230,high,1,0
230,high,2,1
231,high,1,0
231,high,2,1
232,high,1,0
232,high,2,1
233,high,1,0
233,high,2,1
234,high,1,0
234,high,2,1
235,high,1,0
235,high,2,1
236,high,1,0
236,high,2,1
237,high,1,0
237,high,2,1
238,high,1,0
238,high,2,1
239,high,1,0
239,high,2,1
240,high,1,0
240,high,2,1
241,high,1,0
241,high,2,1
242,high,1,0
242,high,2,1
243,high,1,0
243,high,2,1
244,high,1,0
244,high,2,1
245,high,1,0
245,high,2,1
246,high,1,0
246,high,2,1
247,high,1,0
247,high,2,1
248,high,1,0
248,high,2,1
249,high,1,0
249,high,2,1
250,high,1,0
250,high,2,1
251,high,1,0
251,high,2,1
252,high,1,0
252,high,2,1
253,high,1,0
253,high,2,1
254,high,1,0
254,high,2,1
255,high,1,0
255,high,2,1
256,high,1,0
256,high,2,1
257,high,1,0
257,high,2,1
258,high,1,0
258,high,2,0
258,high,3,1
259,high,1,0
259,high,2,0
259,high,3,1
260,high,1,0
260,high,2,0
