"season","opponent","event_id","event_date","event_time","win","attendance","tickets_sold","tickets_resale","opponent_payroll","opponent_rank","opponent_win_pcnt","braves_payroll","braves_rank","braves_win_pcnt"
2011,"Arizona Diamondbacks",6347,"2011-08-20","19:10:00",1,31147,39783,5052,53.639833,28,0.401,87.003192,7,0.562
2011,"Arizona Diamondbacks",6348,"2011-08-21","13:35:00",1,24645,35274,2425,53.639833,28,0.401,87.003192,7,0.562
2011,"Arizona Diamondbacks",6346,"2011-08-19","19:35:00",1,23327,30599,3078,53.639833,28,0.401,87.003192,7,0.562
2011,"Baltimore Orioles",6323,"2011-07-02","19:10:00",1,33468,38766,6759,85.304038,27,0.407,87.003192,7,0.562
2011,"Baltimore Orioles",6324,"2011-07-03","13:35:00",0,18801,24580,2415,85.304038,27,0.407,87.003192,7,0.562
2011,"Baltimore Orioles",6322,"2011-07-01","19:35:00",1,29121,34459,3882,85.304038,27,0.407,87.003192,7,0.562
2011,"Chicago Cubs",6340,"2011-08-13","19:10:00",0,43117,50127,12190,125.480664,23,0.463,87.003192,7,0.562
2011,"Chicago Cubs",6341,"2011-08-14","13:35:00",0,24174,31943,3075,125.480664,23,0.463,87.003192,7,0.562
2011,"Chicago Cubs",6339,"2011-08-12","19:35:00",1,42247,50280,13796,125.480664,23,0.463,87.003192,7,0.562
2011,"Cincinnati Reds",6308,"2011-05-28","19:10:00",1,32200,38144,5416,76.181365,6,0.562,87.003192,7,0.562
2011,"Cincinnati Reds",6307,"2011-05-27","19:35:00",0,26389,31943,3063,76.181365,6,0.562,87.003192,7,0.562
2011,"Cincinnati Reds",6309,"2011-05-29","20:05:00",1,33543,37613,3799,76.181365,6,0.562,87.003192,7,0.562
2011,"Colorado Rockies",6328,"2011-07-07","13:05:00",1,15590,22710,1258,87.998071,14,0.512,87.003192,7,0.562
2011,"Colorado Rockies",6327,"2011-07-06","19:10:00",1,22176,27612,1858,87.998071,14,0.512,87.003192,7,0.562
2011,"Colorado Rockies",6325,"2011-07-04","19:10:00",1,29898,36537,5336,87.998071,14,0.512,87.003192,7,0.562
2011,"Colorado Rockies",6326,"2011-07-05","19:10:00",1,14114,18840,1467,87.998071,14,0.512,87.003192,7,0.562
2011,"Houston Astros",6306,"2011-05-17","13:05:00",1,15100,22108,919,70.694,22,0.469,87.003192,7,0.562
2011,"Houston Astros",6305,"2011-05-16","19:10:00",1,13157,18364,1059,70.694,22,0.469,87.003192,7,0.562
2011,"Los Angeles Dodgers",6352,"2011-09-02","19:35:00",0,23896,32464,3708,103.78899,19,0.494,87.003192,7,0.562
2011,"Los Angeles Dodgers",6353,"2011-09-03","19:10:00",0,27828,38033,5292,103.78899,19,0.494,87.003192,7,0.562
2011,"Los Angeles Dodgers",6354,"2011-09-04","13:35:00",1,26444,34278,3202,103.78899,19,0.494,87.003192,7,0.562
2011,"Miami Marlins",6286,"2011-04-12","19:10:00",1,9991,14891,994,56.944,18,0.494,87.003192,7,0.562
2011,"Miami Marlins",6288,"2011-04-14","19:10:00",0,13125,17815,905,56.944,18,0.494,87.003192,7,0.562
2011,"Miami Marlins",6338,"2011-07-31","13:35:00",0,18220,24661,1925,56.944,18,0.494,87.003192,7,0.562
2011,"Miami Marlins",6287,"2011-04-13","19:10:00",0,11290,15288,969,56.944,18,0.494,87.003192,7,0.562
2011,"Miami Marlins",6357,"2011-09-14","12:05:00",1,13182,22894,664,56.944,18,0.494,87.003192,7,0.562
