ID,CDS,DOLLARS,DATE
1,1,11.77,1/1/97
2,1,12,1/12/97
2,5,77,1/12/97
3,2,20.76,1/2/97
3,2,20.76,3/30/97
3,2,19.54,4/2/97
3,5,57.45,11/15/97
3,4,20.96,11/25/97
3,1,16.99,5/28/98
4,2,29.33,1/1/97
4,2,29.73,1/18/97
4,1,14.96,8/2/97
4,2,26.48,12/12/97
5,2,29.33,1/1/97
5,1,13.97,1/14/97
5,3,38.9,2/4/97
5,3,45.55,4/11/97
5,3,38.71,5/31/97
5,2,26.14,6/16/97
5,2,28.14,7/22/97
5,3,40.47,9/15/97
5,4,46.46,12/8/97
5,3,40.47,12/12/97
5,3,37.47,1/3/98
6,1,20.99,1/1/97
7,2,28.74,1/1/97
7,7,97.43,10/11/97
7,9,138.5,3/22/98
8,1,9.77,1/1/97
8,1,13.97,2/13/97
8,3,45.29,6/17/97
8,2,36.76,7/3/97
8,1,2.99,11/16/97
8,7,50.43,11/16/97
8,1,13.99,12/25/97
8,2,24.46,3/29/98
9,2,23.54,1/1/97
9,2,30.33,5/13/97
9,2,41.98,6/8/98
10,3,39.31,1/21/97
11,1,13.49,1/1/97
11,1,19.3,1/28/97
11,1,12.77,3/17/97
11,1,12.99,2/20/98
12,4,57.06,1/1/97
13,4,72.94,1/1/97
14,2,29.92,1/1/97
15,4,52.87,1/1/97
16,1,9.77,1/1/97
16,2,31.6,7/13/97
16,4,28.51,7/26/97
16,1,9.99,9/10/97
17,5,73.22,1/1/97
18,1,14.96,1/4/97
19,10,163.35,1/1/97
19,1,11.77,6/10/97
20,27,363.6,1/1/97
20,19,289.41,1/18/97
21,3,63.34,1/1/97
21,1,11.77,1/13/97
22,1,14.37,1/1/97
23,2,24.74,1/1/97
24,3,47.28,1/1/97
24,1,10.49,1/20/98
25,2,24.96,1/1/97
25,1,13.9,7/18/97
25,1,12.25,8/17/97
25,1,12.99,10/24/97
25,1,12.99,4/17/98
25,1,10.49,5/25/98
25,3,24.97,6/3/98
25,2,24.98,6/8/98
26,3,42.72,1/1/97
26,3,59.97,1/26/97
27,6,83.41,1/7/97
27,4,52.46,1/12/97
28,3,39.51,1/1/97
28,2,25.74,1/27/97
28,2,25.74,3/8/97
29,3,46.72,1/1/97
29,3,67.31,2/6/97
29,3,41.1,3/9/97
29,3,44.52,4/5/97
29,1,13.97,4/20/97
29,2,26.14,5/4/97
29,1,32.45,5/30/97
29,2,37.65,7/13/97
29,2,26.74,7/13/97
29,1,14.79,9/6/97
29,3,35.97,11/2/97
29,4,48.45,4/26/98
30,1,14.37,1/1/97
30,1,13.97,2/14/97
31,4,59.06,1/1/97
31,4,42.89,4/7/98
31,3,38.06,4/9/98
31,3,37.04,5/25/98
32,3,49.97,1/1/97
32,1,16.36,1/24/97
32,1,11.88,3/11/98
33,3,41.69,1/1/97
33,2,29.92,1/21/97
33,5,73.42,2/16/97
33,2,40.74,5/2/97
33,3,54.25,5/14/97
33,1,14.96,6/1/97
33,2,30.13,6/4/97
33,2,35.69,8/29/97
33,1,11.77,9/6/97
33,3,45.47,10/2/97
33,2,34.98,10/3/97
33,3,54.97,10/5/97
33,5,69.45,10/13/97
33,3,48.97,10/19/97
33,4,54.46,10/31/97
33,5,66.45,11/6/97
33,3,67.47,11/9/97
33,1,13.99,11/10/97
33,1,14.49,11/18/97
33,4,55.96,11/23/97
33,3,36.97,11/25/97
33,3,36.97,1/13/98
33,3,34.47,2/27/98
33,4,35.35,3/5/98
33,2,42.48,3/13/98
34,2,23.14,1/1/97
35,2,26.73,1/1/97
35,1,15.49,9/27/97
36,3,37.91,1/1/97
36,1,11.77,2/3/97
37,2,31.26,1/29/97
37,2,29.13,3/6/97
37,1,13.97,6/28/97
37,1,14.37,8/16/97
37,3,39.47,11/2/97
37,2,27.48,5/13/98
38,1,12.49,1/1/97
39,3,33.33,1/1/97
39,4,50.68,3/13/97
39,2,28.93,5/14/97
39,4,49.55,3/5/98
39,2,58.96,3/11/98
40,2,28.34,1/1/97
40,1,13.97,3/8/97
40,1,15.96,5/3/97
