"Cust_ID","Acq_date","Acq_year","Acq_month","Cust_city","Cust_state","ZIP","Cust_type","Acq_channel","Acq_cost","n_transactions","last_transaction_time","average_transaction_revenue","average_transaction_profit","days_since_last_transaction","days_since_first_transaction","first_trans_channel","avg_n_transactions_per_year","total_revenue","total_profit","status"
"AA1279",2009-08-04,2009,"August","New York","NY","10016","Research","Sponsored Search",178,34,2015-10-07,548.794117647059,283.714705882353,86,2341,"Online",5.30115335326783,18659,9646.3,"Active"
"AB1745",2014-06-17,2014,"June","San Diego","CA","92121","Commercial","Direct Mail",64,5,2015-07-14,687.6,168,171,563,"Offline",3.24156305506217,3438,840,"Active"
"AB1838",2015-04-22,2015,"April","Sunnyvale","CA","94085","Commercial","Sponsored Search",145,4,2015-12-31,585,379,1,254,"Online",5.74803149606299,2340,1516,"Active"
"AC1229",2008-11-17,2008,"November","Philadelphia","PA","19103","Commercial","Direct Mail",74,8,2014-02-12,1483.125,770.75,688,2601,"Offline",1.12264513648597,11865,6166,"Inactive"
"AC1297",2009-10-21,2009,"October","Carlsbad","CA","92008","Commercial","Direct Mail",64,2,2010-07-06,769.5,631,2005,2263,"Offline",0.32258064516129,1539,1262,"Inactive"
"AC1551",2012-05-25,2012,"May","Monmouth Jtn","NJ","08852","Commercial","Direct Mail",90,3,2013-04-01,873.666666666667,539,1005,1316,"Offline",0.832066869300912,2621,1617,"Inactive"
"AC1880",2015-08-31,2015,"August","The Woodlands","TX","77381","Commercial","Sponsored Search",145,1,2015-08-31,921,367,123,123,"Online",2.96747967479675,921,367,"Active"
"ACA680",2008-12-28,2008,"December","Cambridge","MA","02139","Commercial","WOM",23,10,2010-08-30,476.6,236.3,1950,2560,"Offline",1.42578125,4766,2363,"Inactive"
"ACA888",2008-07-07,2008,"July","San Diego","CA","92121","Commercial","Sponsored Search",127,26,2015-08-24,737.653846153846,474.576923076923,130,2734,"Online",3.47110460863204,19179,12339,"Active"
"ACG469",2006-09-18,2006,"September","Wheeling","IL","60090","Commercial","WOM",48,18,2015-09-24,725,480.242222222222,99,3392,"Offline",1.93691037735849,13050,8644.36,"Active"
"AD1355",2010-06-15,2010,"June","San Diego","CA","92121","Commercial","WOM",26,24,2015-07-30,1052.45833333333,618.065,155,2026,"Online",4.32379072063179,25259,14833.56,"Active"
"ADI609",2004-06-16,2004,"June","Lake Placid","NY","12946","Commercial","WOM",39,31,2015-07-08,468.258064516129,252,177,4216,"Offline",2.68382352941176,14516,7812,"Active"
"AF1842",2015-04-30,2015,"April","Gaithersburg","MD","20877","Commercial","Direct Mail",63,4,2015-06-15,407,273.5,200,246,"Online",5.9349593495935,1628,1094,"Active"
"AF1846",2015-05-13,2015,"May","Milford","NH","03055","Commercial","WOM",51,1,2015-05-13,566,359,233,233,"Online",1.56652360515021,566,359,"Active"
"AG1485",2011-10-06,2011,"October","Ithaca","NY","14850","Commercial","WOM",49,9,2015-11-25,577.222222222222,401.222222222222,37,1548,"Offline",2.12209302325581,5195,3611,"Active"
"AG1679",2013-11-18,2013,"November","Baton Rouge","LA","70803","Research","WOM",37,1,2013-11-18,1152,484,774,774,"Online",0.471576227390181,1152,484,"Inactive"
"AG1741",2014-05-30,2014,"May","Hidalgo","TX","78557","Commercial","Sponsored Search",124,7,2015-07-14,581.571428571429,418.857142857143,171,581,"Offline",4.39759036144578,4071,2932,"Active"
"AG1853",2015-06-08,2015,"June","Storrs","CT","06269","Commercial","Direct Mail",63,1,2015-06-08,545,167.4,207,207,"Offline",1.76328502415459,545,167.4,"Active"
"AG1901",2015-10-13,2015,"October","Durham","NC","27709","Commercial","Sponsored Search",145,2,2015-11-03,871,602.5,59,80,"Online",9.125,1742,1205,"Active"
"AH1143",1998-03-31,1998,"March","Pittsburgh","PA","15212","Research","WOM",95,82,2015-08-20,595.121951219512,334.719512195122,134,6485,"Offline",4.61526599845798,48800,27447,"Active"
"AL1006",2012-05-23,2012,"May","Normal","AL","35762","Research","WOM",33,13,2015-06-18,351.153846153846,186.846153846154,197,1318,"Offline",3.60015174506829,4565,2429,"Active"
"AL1143",2013-09-20,2013,"September","Pittsburgh","PA","15212","Research","WOM",37,7,2015-09-09,761.714285714286,298,114,833,"Offline",3.0672268907563,5332,2086,"Active"
