Id,donate_00,donate_01,donate_02,donate_03,donate_04,donate_05,donate_06,donate_07,donate_08,donate_09,donate_10,donate_11
100001,1,0,0,0,0,0,0,0,0,0,0,0
100002,1,0,0,0,0,0,0,0,1,1,1,1
100003,1,0,0,0,0,0,0,0,0,0,0,0
100004,1,0,1,0,1,1,1,1,1,1,1,0
100005,1,0,1,1,1,0,1,1,1,1,1,1
100006,1,1,1,1,0,1,0,1,1,0,0,0
100007,1,1,0,1,0,1,0,0,0,0,0,0
100008,1,1,1,1,1,1,1,1,1,1,1,1
100009,1,1,1,1,1,1,0,1,1,1,1,1
100010,1,0,0,0,0,0,0,0,0,0,0,0
100011,1,0,0,0,0,0,0,0,0,0,0,0
100012,1,0,1,0,0,1,1,0,0,0,0,0
100013,1,1,0,1,0,0,0,0,0,0,0,0
100014,1,1,1,0,0,1,1,1,1,1,1,0
100015,1,0,0,0,0,0,0,0,0,0,0,0
100016,1,1,1,1,1,1,0,0,0,0,0,0
100017,1,1,0,0,1,1,0,0,0,0,0,0
100018,1,1,1,1,0,0,1,0,0,0,1,0
100019,1,1,0,1,1,0,1,1,0,1,1,1
100020,1,1,1,0,0,0,0,0,0,0,0,0
100021,1,1,1,0,1,1,0,1,0,0,0,0
100022,1,0,1,1,0,1,1,0,0,0,0,0
100023,1,0,0,0,0,0,0,0,0,0,0,0
100024,1,1,0,0,0,0,1,1,1,0,1,0
100025,1,0,0,0,0,0,0,0,0,0,0,0
100026,1,1,1,1,0,1,1,0,0,0,0,0
100027,1,0,0,0,0,0,0,0,0,0,0,0
100028,1,0,0,0,0,0,0,0,0,0,0,0
100029,1,0,0,0,0,0,0,0,0,0,0,0
100030,1,0,0,0,0,1,0,0,0,0,0,0
100031,1,0,0,0,0,0,0,0,0,0,0,0
100032,1,0,1,1,1,1,1,1,1,1,1,0
100033,1,1,1,0,1,1,0,1,1,1,1,1
100034,1,1,1,1,0,1,0,1,0,1,1,0
100035,1,1,0,0,0,1,0,1,0,1,0,0
100036,1,0,1,1,0,1,0,1,1,1,1,1
100037,1,0,0,0,0,0,0,0,0,0,0,0
100038,1,1,0,0,0,0,1,1,1,1,1,0
100039,1,0,0,0,0,1,1,1,1,1,1,1
100040,1,1,0,1,1,0,1,1,1,1,1,1
100041,1,1,1,1,1,1,1,1,1,0,0,0
100042,1,0,1,1,1,1,1,0,0,0,0,0
100043,1,0,1,0,0,0,0,0,0,0,1,0
100044,1,0,0,1,1,1,1,1,0,1,0,1
100045,1,0,1,0,1,1,1,1,1,1,1,0
100046,1,0,0,0,0,0,1,1,0,1,0,0
100047,1,1,0,0,1,0,0,0,0,0,0,0
100048,1,1,1,1,1,1,1,1,1,1,1,1
100049,1,1,1,0,0,1,1,1,1,1,0,0
100050,1,1,0,0,0,0,0,0,0,0,0,0
100051,1,1,0,0,0,1,0,0,1,1,1,1
100052,1,0,0,1,1,1,1,1,1,1,1,1
100053,1,0,0,0,0,0,0,0,0,0,0,0
100054,1,0,0,0,0,0,0,0,0,0,0,0
100055,1,0,0,0,0,0,0,0,0,0,0,0
100056,1,1,1,1,1,1,0,0,1,0,0,0
100057,1,1,0,0,1,0,0,1,0,0,0,0
100058,1,0,0,0,0,0,0,0,0,0,0,0
100059,1,0,0,0,0,0,0,0,0,0,0,0
100060,1,1,0,0,0,0,0,0,0,0,0,0
100061,1,1,1,0,1,1,1,1,1,0,0,0
100062,1,1,1,1,1,1,1,0,0,0,0,0
100063,1,1,1,0,0,0,0,1,0,0,0,0
100064,1,0,1,0,1,0,1,0,1,0,1,1
100065,1,0,1,0,0,1,0,0,0,1,1,0
100066,1,0,1,0,0,0,0,0,0,0,0,0
100067,1,0,0,1,1,0,0,0,0,0,0,0
100068,1,1,1,0,0,0,0,0,0,0,1,1
100069,1,1,1,1,1,1,1,1,1,1,1,1
100070,1,1,0,1,1,1,1,1,1,1,1,1
100071,1,1,1,1,0,0,0,0,0,0,0,0
100072,1,1,1,1,1,1,1,1,1,1,1,1
100073,1,0,0,0,0,1,0,0,0,0,0,0
100074,1,1,0,0,0,0,0,0,0,0,0,0
100075,1,0,1,1,1,1,0,0,1,1,1,0
100076,1,1,1,1,1,1,1,0,1,1,1,1
100077,1,1,1,0,1,1,0,1,1,1,1,0
100078,1,0,0,0,0,1,1,0,1,0,1,0
100079,1,1,1,1,1,1,1,1,1,1,1,0
100080,1,1,0,0,0,0,0,0,0,0,0,0
100081,1,1,1,0,0,0,1,1,0,0,0,0
100082,1,0,0,0,0,0,0,0,0,1,1,0
100083,1,1,1,1,1,1,1,1,0,0,0,0
100084,1,1,1,1,0,0,1,0,0,0,0,0
100085,1,1,1,1,0,0,0,0,0,0,0,0
100086,1,1,1,1,1,1,0,1,1,0,0,0
100087,1,1,1,0,1,0,1,1,0,0,0,0
100088,1,1,1,1,1,1,1,1,1,1,1,1
100089,1,0,0,0,0,0,0,0,0,0,0,0
100090,1,0,0,0,0,0,0,0,0,0,0,0
100091,1,1,1,1,1,1,1,1,1,1,1,0
100092,1,0,0,1,1,1,1,1,1,0,0,0
100093,1,0,0,0,0,0,1,1,1,1,0,1
100094,1,0,0,0,0,0,0,0,0,0,0,0
100095,1,0,0,0,0,0,0,0,0,0,0,0
100096,1,1,0,1,0,1,1,1,1,1,0,0
100097,1,1,0,1,1,1,0,0,0,1,1,1
100098,1,1,1,1,1,1,1,1,1,1,1,1
100099,1,0,0,0,0,0,0,0,0,0,0,0
100100,1,1,0,0,0,1,1,0,1,1,1,0
100101,1,1,1,1,0,0,0,1,1,1,1,1
100102,1,1,1,1,0,0,0,1,1,0,0,0
100103,1,0,0,0,0,1,0,0,0,0,0,0
100104,1,0,0,0,0,0,0,0,0,0,0,1
100105,1,0,0,0,0,0,0,0,0,0,0,0
100106,1,0,0,0,0,0,0,0,0,0,0,0
100107,1,1,0,0,0,0,0,0,0,0,0,0
100108,1,1,0,0,1,1,0,0,1,1,1,1
100109,1,0,1,0,0,1,1,1,1,1,1,1
100110,1,0,1,0,0,0,0,0,0,1,1,1
100111,1,1,1,1,0,1,0,0,0,0,0,0
100112,1,0,0,1,1,1,0,1,0,0,1,0
100113,1,1,1,1,1,1,0,1,1,1,0,0
100114,1,0,0,1,0,0,0,1,0,0,0,1
100115,1,0,1,1,1,1,1,1,1,1,1,1
100116,1,0,0,0,0,0,0,0,0,0,0,0
100117,1,0,1,0,1,0,1,0,0,0,0,0
100118,1,1,1,0,1,0,1,1,1,0,1,0
100119,1,0,0,0,0,0,0,0,0,0,0,0
100120,1,0,0,0,0,0,0,0,0,0,0,0
100121,1,0,0,0,0,0,0,1,0,1,0,1
100122,1,0,0,0,0,0,0,0,0,0,0,0
100123,1,1,1,0,0,0,0,0,1,0,0,0
100124,1,1,0,0,1,1,1,1,0,1,0,1
100125,1,0,0,0,0,0,0,0,0,0,0,0
100126,1,1,1,1,1,1,1,1,0,1,1,1
100127,1,0,1,0,0,0,1,0,1,0,0,1
100128,1,1,1,1,1,1,1,1,0,0,1,0
100129,1,0,1,1,0,1,1,1,1,1,1,1
100130,1,1,0,0,0,0,0,0,0,0,0,0
100131,1,1,1,1,1,0,0,0,0,0,0,0
100132,1,0,1,1,0,0,0,1,0,0,0,0
100133,1,1,1,1,1,1,1,1,1,1,1,0
100134,1,0,0,0,0,0,0,0,0,0,0,1
100135,1,1,0,0,0,0,0,0,1,0,0,0
100136,1,1,1,0,0,1,1,1,1,1,1,1
100137,1,0,0,0,0,0,0,0,0,0,0,0
100138,1,1,1,1,0,1,0,1,0,1,0,1
100139,1,1,1,1,1,1,1,1,1,1,1,1
100140,1,0,1,0,0,1,0,0,0,0,0,0
100141,1,1,0,0,0,0,0,0,0,0,0,0
100142,1,1,1,1,1,0,1,1,1,1,1,1
100143,1,0,0,0,0,0,0,0,0,0,0,0
100144,1,0,0,0,0,0,0,0,0,0,0,0
100145,1,1,1,1,1,1,0,0,0,0,0,0
100146,1,1,1,1,1,1,1,0,1,1,1,0
100147,1,1,1,1,1,1,1,1,1,1,1,1
100148,1,0,0,1,1,1,1,1,0,0,0,0
100149,1,0,0,1,0,1,1,0,0,0,0,0
100150,1,1,1,0,1,0,0,0,0,0,0,0
100151,1,0,0,0,0,1,1,0,0,1,0,0
100152,1,1,0,1,0,0,0,1,1,0,1,0
100153,1,1,0,0,0,0,0,0,0,0,0,0
100154,1,1,0,1,1,1,1,1,1,1,1,1
100155,1,1,0,1,0,1,0,1,1,0,0,0
100156,1,1,1,1,1,1,1,1,0,1,1,0
100157,1,0,1,0,1,1,1,0,0,0,0,0
100158,1,0,0,0,1,0,0,1,0,0,0,0
100159,1,1,0,0,0,0,0,0,0,0,0,0
100160,1,1,0,1,1,1,1,1,1,1,1,1
100161,1,0,0,0,0,0,0,1,1,1,0,0
100162,1,0,0,0,0,1,0,0,0,0,0,0
100163,1,1,1,1,0,1,1,1,1,1,1,1
100164,1,1,1,1,1,1,1,1,0,0,0,0
100165,1,0,0,0,0,0,0,0,0,1,1,1
100166,1,0,0,0,0,0,0,0,0,0,0,0
100167,1,1,0,0,0,1,0,0,0,0,0,0
100168,1,1,1,1,1,1,1,1,1,1,1,1
100169,1,0,0,0,0,0,0,0,0,0,0,0
100170,1,1,1,0,0,0,0,0,0,0,0,0
100171,1,0,0,0,0,0,0,0,0,0,0,0
100172,1,0,0,0,0,0,0,0,0,0,0,0
100173,1,0,0,1,0,0,0,0,0,0,1,0
100174,1,1,1,0,1,1,1,1,1,1,1,0
100175,1,0,1,0,1,1,1,1,1,1,0,0
100176,1,1,0,0,0,0,0,0,0,0,0,0
100177,1,1,1,0,0,1,1,0,0,1,0,0
100178,1,0,1,1,1,0,0,0,0,0,0,0
100179,1,1,0,1,1,1,1,1,1,0,1,0
100180,1,1,1,1,1,0,1,1,1,1,0,0
100181,1,1,1,0,0,0,0,0,0,0,0,0
100182,1,1,1,1,1,1,1,1,0,0,0,0
100183,1,1,1,1,1,1,1,1,1,1,1,0
100184,1,0,0,0,0,0,0,0,0,1,0,1
100185,1,1,1,0,1,1,1,1,1,0,0,0
100186,1,0,0,0,0,0,0,0,1,1,0,0
100187,1,1,1,1,0,0,0,0,0,0,0,0
100188,1,0,1,0,0,1,1,1,1,0,1,1
100189,1,1,1,0,1,1,0,1,1,1,1,1
100190,1,1,1,1,1,1,1,1,0,0,0,0
100191,1,0,1,0,0,0,1,0,0,1,1,1
100192,1,0,1,1,0,0,0,0,0,0,0,0
100193,1,0,0,0,0,0,0,0,0,0,0,0
100194,1,1,1,1,1,0,1,1,1,1,1,1
100195,1,1,1,0,0,0,0,0,0,0,0,0
100196,1,1,0,1,1,1,1,1,1,1,1,1
100197,1,1,0,0,0,0,0,0,0,0,0,0
100198,1,1,0,1,1,1,1,1,1,1,1,1
100199,1,0,0,0,0,0,0,0,0,0,0,0
100200,1,1,0,0,0,0,0,0,0,0,0,0
100201,1,1,0,1,1,0,0,0,1,1,1,0
100202,1,1,1,1,1,1,1,0,0,0,0,0
100203,1,1,0,0,0,0,0,0,0,0,0,0
100204,1,1,1,1,0,1,1,1,1,0,1,0
100205,1,1,1,1,1,0,0,0,0,0,0,0
100206,1,0,0,0,0,0,0,0,0,0,0,0
100207,1,0,0,0,0,0,0,0,0,0,0,0
100208,1,0,0,0,0,0,0,0,0,0,0,0
100209,1,1,1,1,1,1,1,1,1,1,1,1
100210,1,0,0,0,1,1,1,1,1,0,0,0
100211,1,1,1,0,0,0,0,0,0,0,0,0
100212,1,1,1,1,1,1,1,1,0,0,0,0
100213,1,1,1,1,1,1,0,0,0,0,0,0
100214,1,1,1,1,1,1,1,0,1,1,0,0
100215,1,1,1,0,1,0,1,0,1,0,0,0
100216,1,0,1,1,0,1,0,1,1,1,1,1
100217,1,0,0,0,0,0,0,0,0,0,0,0
100218,1,0,1,1,1,0,0,0,0,0,0,0
100219,1,1,0,0,0,0,0,0,0,0,0,0
100220,1,0,0,0,0,0,0,1,0,0,0,0
100221,1,1,1,1,1,1,1,1,0,0,0,0
100222,1,0,1,0,0,0,0,1,1,1,0,1
100223,1,1,1,1,0,0,0,0,0,0,0,0
100224,1,0,0,0,0,0,0,0,0,0,0,0
100225,1,0,0,0,0,0,0,0,0,0,0,0
100226,1,0,1,0,0,0,0,0,0,0,0,0
100227,1,1,0,1,0,0,0,1,0,0,0,1
100228,1,1,0,1,1,0,0,0,1,0,0,0
100229,1,1,0,1,0,0,0,0,0,0,0,0
100230,1,0,0,0,0,0,0,0,0,0,0,0
100231,1,0,0,0,0,0,0,1,1,1,1,1
100232,1,1,0,1,1,1,1,1,1,1,0,0
100233,1,0,0,0,1,0,0,0,0,0,0,0
100234,1,1,1,0,1,1,1,1,0,1,1,0
100235,1,1,1,1,1,1,0,1,1,1,0,0
100236,1,1,1,1,1,1,1,1,1,1,1,1
100237,1,1,0,1,0,1,1,1,1,1,1,0
100238,1,1,1,0,0,0,0,0,0,0,0,1
100239,1,1,0,1,1,1,1,1,0,0,0,0
100240,1,1,1,0,1,1,1,1,1,1,1,1
100241,1,0,1,1,1,1,1,1,1,1,1,1
100242,1,1,1,0,1,1,1,1,1,1,1,0
100243,1,1,1,1,1,1,1,1,1,1,1,1
100244,1,1,1,0,0,0,0,0,1,0,1,1
100245,1,0,0,1,1,1,0,0,0,0,0,0
100246,1,1,1,0,0,0,0,0,0,0,0,0
100247,1,0,0,0,0,1,0,1,0,1,1,1
100248,1,1,1,0,0,0,0,0,0,0,0,0
100249,1,1,1,1,1,1,1,1,1,1,1,1
100250,1,0,0,0,0,0,0,0,0,0,0,0
100251,1,0,0,0,0,0,1,1,1,0,0,0
100252,1,1,1,1,1,1,1,1,1,1,1,0
100253,1,1,1,1,1,1,1,1,1,1,1,1
100254,1,1,1,1,1,1,0,0,0,0,0,0
100255,1,1,1,1,1,1,1,1,1,1,1,0
100256,1,0,0,0,0,0,0,0,0,0,0,0
100257,1,0,1,0,1,1,0,1,1,1,1,0
100258,1,0,0,1,0,0,1,0,0,0,0,0
100259,1,0,1,0,0,0,1,0,0,0,0,0
100260,1,0,0,0,0,0,0,0,0,1,0,0
100261,1,0,1,1,1,0,0,1,0,1,1,1
100262,1,1,1,1,1,1,1,1,1,1,1,1
100263,1,0,0,0,1,1,1,1,0,0,0,0
100264,1,1,0,1,0,1,1,1,1,1,0,0
100265,1,1,1,1,0,0,0,0,0,0,0,0
100266,1,1,1,1,1,1,1,1,1,1,1,1
100267,1,1,1,1,1,0,0,0,0,0,0,0
100268,1,1,1,0,0,0,0,0,0,0,0,0
100269,1,1,1,1,0,1,1,1,0,1,1,1
100270,1,1,1,1,0,1,1,0,1,0,1,1
100271,1,0,0,1,1,0,0,1,1,1,1,1
100272,1,1,1,1,0,1,0,1,1,1,1,0
100273,1,1,1,0,1,1,0,0,1,1,1,1
100274,1,0,0,0,0,0,0,0,0,0,0,0
100275,1,1,1,0,0,0,0,0,0,0,0,0
100276,1,0,0,0,0,0,0,0,0,0,0,0
100277,1,0,0,0,0,0,0,1,1,0,0,0
100278,1,1,0,0,0,0,0,0,0,0,0,0
100279,1,1,1,1,1,1,1,1,1,1,0,0
100280,1,1,1,0,1,1,1,1,1,1,0,0
100281,1,1,1,1,1,1,1,1,1,1,1,1
100282,1,1,1,0,1,1,1,1,1,0,1,1
100283,1,1,0,1,1,1,1,1,1,1,1,1
100284,1,0,0,0,0,0,0,0,0,0,0,0
100285,1,1,1,0,0,0,1,0,1,1,1,0
100286,1,1,0,0,0,0,0,0,0,0,0,0
100287,1,1,1,1,1,1,1,0,0,0,0,0
100288,1,0,0,0,1,0,0,0,0,0,0,0
100289,1,1,0,0,0,0,1,1,0,0,0,1
100290,1,1,1,1,1,0,1,1,1,1,1,0
100291,1,0,0,0,0,0,0,0,0,0,0,0
100292,1,0,1,1,1,0,0,0,0,0,0,0
100293,1,1,0,1,1,0,1,1,1,0,1,0
100294,1,0,0,0,0,0,0,0,0,0,0,0
100295,1,1,1,1,0,0,0,0,0,0,0,0
100296,1,0,0,0,0,0,0,0,0,0,0,0
100297,1,1,0,0,1,1,0,0,1,0,1,1
100298,1,0,1,1,1,1,0,1,1,1,1,1
100299,1,1,1,0,1,1,0,1,0,0,0,1
100300,1,0,0,1,1,1,0,0,1,0,0,1
100301,1,1,0,0,0,0,0,0,0,0,0,0
100302,1,1,1,0,0,0,0,0,0,0,0,0
100303,1,0,1,1,1,1,1,1,1,1,0,0
100304,1,1,1,0,0,1,1,1,1,1,1,1
100305,1,1,1,1,1,1,1,1,1,1,1,1
100306,1,0,0,0,0,0,0,0,0,0,0,0
100307,1,1,0,0,0,0,0,0,0,0,0,0
100308,1,1,1,0,0,0,1,1,0,0,1,1
100309,1,1,1,1,1,1,1,1,1,1,1,1
100310,1,1,1,0,0,0,0,0,0,0,0,0
100311,1,0,1,1,0,1,0,0,1,0,0,0
100312,1,1,1,1,0,1,1,1,1,0,1,0
100313,1,0,0,0,0,0,0,0,0,0,0,0
100314,1,1,1,1,1,1,0,1,1,1,0,0
100315,1,0,1,0,0,1,0,0,0,0,0,0
100316,1,1,1,1,1,1,1,0,1,0,1,1
100317,1,0,0,0,0,0,0,1,0,0,0,0
100318,1,1,0,0,0,0,0,0,0,0,0,0
100319,1,1,0,0,0,0,0,0,0,0,0,0
100320,1,0,0,1,1,1,1,0,0,1,1,0
100321,1,0,0,0,0,0,0,0,0,0,0,0
100322,1,1,1,0,1,1,1,1,1,1,1,1
100323,1,1,1,1,1,0,1,1,0,1,1,1
100324,1,0,0,0,0,0,0,0,0,0,0,0
100325,1,1,0,0,0,1,1,0,0,0,0,0
100326,1,1,1,1,1,1,1,1,1,0,0,0
100327,1,1,0,1,1,1,1,1,0,0,0,0
100328,1,0,0,0,1,1,0,0,0,0,1,1
100329,1,0,0,0,0,0,0,0,0,0,0,0
100330,1,0,1,0,1,0,1,0,0,0,1,0
100331,1,0,1,1,1,1,1,1,1,1,1,0
100332,1,1,1,1,0,1,0,0,1,0,1,1
100333,1,1,1,1,1,1,1,1,1,1,1,1
100334,1,1,1,1,1,1,1,1,1,1,1,1
100335,1,1,1,0,0,0,0,0,0,0,0,0
100336,1,1,1,1,1,1,0,1,1,1,1,1
100337,1,0,0,0,0,0,0,0,0,0,0,0
