id,seen_the_shawshank_redemption,seen_the_godfather,seen_the_godfather:_part_ii,seen_the_dark_knight,seen_pulp_fiction,seen_schindler's_list,seen_12_angry_men,"seen_the_good,_the_bad_and_the_ugly",seen_the_lord_of_the_rings:_the_return_of_the_king,seen_fight_club,seen_the_lord_of_the_rings:_the_fellowship_of_the_ring,seen_star_wars:_episode_v_-_the_empire_strikes_back,seen_forrest_gump,seen_inception,seen_one_flew_over_the_cuckoo's_nest,seen_the_lord_of_the_rings:_the_two_towers,seen_goodfellas,seen_the_matrix,seen_star_wars:_episode_iv_-_a_new_hope,seen_seven_samurai,seen_city_of_god,seen_se7en,seen_the_usual_suspects,seen_the_silence_of_the_lambs,seen_it's_a_wonderful_life,seen_interstellar,seen_kingsman:_the_secret_service,seen_seventh_son,seen_it_follows,seen_divergent,seen_into_the_woods,seen_birdman:_or,seen_big_hero_6,seen_exodus:_gods_and_kings,seen_the_hunger_games:_mockingjay_-_part_1,seen_whiplash,seen_guardians_of_the_galaxy,seen_the_imitation_game,seen_paddington,seen_gone_girl,seen_the_hobbit:_the_battle_of_the_five_armies,seen_unbroken,seen_serena,seen_the_water_diviner,seen_the_theory_of_everything,seen_american_sniper,seen_a_million_ways_to_die_in_the_west,seen_nightcrawler,seen_wild,seen_fury,gender,age,income,edu,race,white.nonwhite
1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,male,29,4,6,white,white
2,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,female,22,3,6,mixed,nonwhite
3,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,female,24,1,5,white,white
4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,male,23,2,6,native,nonwhite
5,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,23,1,5,white,white
6,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,1,0,0,1,male,23,3,6,white,white
7,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,male,24,2,6,white,white
8,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,female,25,1,6,asian,nonwhite
9,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,male,25,3,6,white,white
10,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,1,0,0,0,female,,1,6,white,white
