ID,Profit99,Online99,Age99,Inc99,Tenure99,District99,Profit00,Online00,Billpay99,Billpay00
1,21,0,,,6.33,1200,,,0,
2,-6,0,6,3,29.5,1200,-32,0,0,0
3,-49,1,5,5,26.41,1100,-22,1,0,0
4,-4,0,,,2.25,1200,,,0,
5,-61,0,2,9,9.91,1200,-4,0,0,0
6,-38,0,,3,2.33,1300,14,0,0,0
7,-19,0,3,1,8.41,1300,0,0,0,0
8,59,0,5,8,7.33,1200,-65,0,0,0
9,493,0,4,9,15.33,1200,855,0,0,0
10,-158,0,6,8,4.33,1100,-20,0,0,0
11,395,0,6,3,13.5,1200,67,0,0,0
12,-62,0,6,1,6.25,1200,-60,0,0,0
13,-124,0,7,6,17.41,1200,-128,0,0,0
14,32,0,,,0.58,1200,,,0,
15,-28,0,4,9,14.66,1200,71,1,0,1
16,632,0,4,7,26.66,1100,808,0,0,0
17,-135,1,3,8,9,1200,-120,0,0,0
18,-60,0,,5,9.41,1200,-60,0,0,0
19,-92,0,3,7,4.16,1200,-80,0,0,0
20,68,0,4,8,22.16,1200,1,0,0,0
21,26,0,4,7,8.66,1300,224,0,0,0
22,-28,0,,,2.41,1200,,,0,
23,-6,0,3,4,4.75,1200,-22,1,0,1
24,43,0,,,6.83,1100,42,0,0,0
25,698,0,4,6,18.91,1300,680,0,0,0
26,-50,0,,,1.66,1200,,,0,
27,-27,0,4,6,8.66,1200,-33,0,0,0
28,-14,1,,,6.33,1200,,,1,
29,-36,0,,,4.83,1200,,,0,
30,14,1,4,3,22.5,1300,,,0,
31,-18,0,6,7,8.41,1200,-21,0,0,0
32,-130,0,5,8,6.25,1200,-112,0,0,0
33,-71,0,7,3,14.08,1200,-28,0,0,0
34,291,0,4,6,29.5,1200,614,0,0,0
35,7,0,4,,5,1200,-19,0,0,0
36,-32,0,2,1,2.5,1200,1,0,0,0
37,533,0,,,31.83,1200,,,0,
38,88,0,4,7,8.58,1200,7,0,0,0
39,-162,0,,,4.33,1200,-83,0,0,0
40,900,0,2,6,6.58,1200,534,0,0,0
41,383,0,,,13.83,1200,,,0,
42,-95,1,4,4,20.41,1300,-111,1,0,0
43,88,1,4,7,17.91,1200,-116,1,0,0
44,-49,0,2,7,6.16,1200,259,0,0,0
45,-8,0,,,2.5,1200,-31,0,0,0
46,32,0,5,6,8.75,1200,63,0,0,0
47,259,0,,,0.16,1200,795,0,0,0
48,512,0,6,9,1.16,1200,-45,0,0,0
49,-27,0,,,1.66,1200,,,0,
50,-1,0,,,40,1100,37,0,0,0
51,313,0,4,7,8.75,1200,258,0,0,0
52,205,0,7,3,19.16,1200,136,0,0,0
53,5,1,,,0.75,1100,,,0,
54,367,0,5,7,7.33,1200,387,0,0,0
55,-48,1,2,6,6.58,1300,-45,1,0,0
56,97,0,5,3,29,1200,141,0,0,0
57,316,0,6,6,22.41,1300,336,0,0,0
58,-44,0,,,6.25,1100,827,1,0,0
59,-27,0,4,9,15.08,1200,-27,0,0,0
60,6,0,5,7,32.08,1200,-26,0,0,0
61,-13,0,3,6,6.91,1200,733,0,0,0
62,-43,0,,,1.25,1300,,,0,
63,362,0,,,0.41,1200,231,0,0,0
64,7,0,,,8.41,1200,-9,0,0,0
65,-67,0,3,1,3.75,1100,-105,0,0,0
66,-34,0,4,6,2.83,1200,,,0,
67,191,1,,,3.33,1300,,,0,
68,-30,0,,,5.41,1200,-31,0,0,0
69,277,0,7,3,15.08,1200,54,0,0,0
70,4,0,,,1.25,1300,21,0,0,0
71,16,1,5,8,6.75,1200,64,1,0,0
72,703,1,4,9,10.25,1200,156,1,0,1
73,-36,0,3,6,7.66,1200,82,1,0,0
74,238,1,6,9,29.41,1200,249,1,0,0
75,-47,0,,,4.16,1200,14,0,0,0
76,220,0,7,3,2.5,1300,-19,0,0,0
77,-213,0,4,6,11.66,1100,-143,1,0,0
78,-41,0,4,6,6.16,1100,0,0,0,0
79,253,0,4,6,3.91,1200,121,0,0,0
80,-29,0,1,1,6.41,1200,-2,0,0,0
81,-126,0,5,9,2.58,1200,-40,0,0,0
82,-38,0,,,7.75,1200,,,0,
83,83,0,2,5,5.16,1200,408,1,0,0
84,73,0,3,6,4.66,1200,99,0,0,0
85,-5,0,3,8,1.5,1200,9,1,0,1
86,380,0,3,7,7.08,1200,212,0,0,0
87,-56,0,6,1,34.5,1200,95,0,0,0
88,51,0,5,9,11.08,1200,64,0,0,0
89,56,0,6,7,4.58,1200,22,0,0,0
90,-90,1,2,7,3.75,1200,-4,1,0,0
91,-69,0,7,6,10.08,1100,-71,0,0,0
92,-131,1,6,6,6.5,1200,-58,1,1,0
93,-141,0,7,9,33.5,1200,10,0,0,0
94,-48,0,4,6,10.25,1300,-63,0,0,0
95,-66,0,4,6,8.83,1200,39,0,0,0
96,-6,0,4,1,5.5,1300,236,1,0,1
97,-65,0,,,5.08,1200,-29,0,0,0
98,318,0,4,9,21.41,1200,327,0,0,0
99,768,0,4,4,10.66,1200,725,0,0,0
100,-24,0,,,5.91,1200,-17,0,0,0
101,19,0,2,4,7.5,1200,,,0,
