,Patrick C,Heather,Bryan,Patrick T,Thomas,aaron,vanessa,greg,brian,ben,Katherine,Jonathan,Zwe,Erin,Chris,Zak,Matt,Chris,Josh,Amy
Alien,,,2,,5,4,,,4,,,,,,2,,,4,3,
Avatar,4,5,5,4,2,,4,3,,3,5,4,4,4,1,5,,,4,3
Blade Runner,5,,,,5,4,,1,5,5,,,,,5,,,3,,3
Braveheart,4,,5,,4,4,3,4,4,,3,4,3,4,2,5,,4,,3
Dodgeball,5,4,3,2,4,,4,5,3,4,5,5,3,3,3,3,,3,,4
Forest Gump,4,5,4,3,3,,4,5,5,5,5,5,5,5,3,5,4,5,4,4
Gladiator,,5,5,,4,4,4,5,5,5,3,4,3,,3,5,,3,4,
Jaws,,5,4,,4,,2,3,3,1,,3,2,3,2,,,5,5,3
Kazaam,2,,3,5,2,,,,1,,2,2,2,1,1,1,,,,1
Lord of the Rings,4,4,3,2,,5,2,3,5,2,4,4,3,4,3,4,1,4,,
Napolean Dynamite,3,4,1,1,5,1,4,4,4,4,2,3,3,2,1,1,3,1,,2
Old School,3,,4,5,5,,3,5,4,4,,5,4,,5,5,,4,,3
Pootie Tang,,,1,1,,,1,,1,1,,,2,,3,,,1,,
Pulp Fiction,,,4,,4,3,,4,5,4,,5,4,,5,5,,5,,4
Scarface,,4,,,5,4,4,4,,4,,4,,,3,3,,2,,
Shawshank Redemption,5,,5,,,5,,5,5,5,,,4,,4,,,4,,2
Snakes on a Plane,4,1,2,,4,,,,3,2,,,1,,3,,1,3,,2
Spiderman,4,3,4,4,5,3,,4,4,4,5,3,4,3,2,3,3,2,4,3
Star Wars,5,5,4,5,5,3,3,5,5,5,5,5,4,3,4,5,,5,5,
The Dark Knight,4,5,5,4,4,,,4,4,5,,5,5,,3,5,,4,4,4
