attitude,planning,parents,goodval,getto,age,educ,income,cnty
6,7,5,7,7,4,4,4,Cook
5,4,4,4,4,10,5,3,Cook
6,6,5,2,2,10,4,2,Cook
6,6,4,3,2,8,6,1,Cook
7,7,4,3,7,12,4,1,Cook
7,7,2,6,6,4,3,3,Cook
6,6,7,5,5,3,6,6,Chicago
7,6,7,7,7,5,8,10,Cook
7,6,7,1,5,2,6,1,Chicago
5,6,5,3,6,10,5,4,Cook
4,6,5,2,3,4,6,5,DuPage
5,6,4,2,5,5,6,5,Cook
7,7,4,7,7,8,5,7,Cook
5,4,4,1,4,11,5,3,DuPage
6,7,6,2,1,3,6,3,Cook
4,4,4,4,6,5,5,5,Cook
7,7,4,4,1,6,3,9,Cook
2,4,4,4,4,2,3,1,Cook
4,4,5,2,4,6,5,4,Cook
4,6,4,4,6,12,6,3,Cook
6,5,6,6,6,2,4,2,Cook
6,7,4,1,1,12,2,2,Cook
7,7,7,3,5,1,5,3,Other
3,6,2,4,2,5,5,4,Cook
4,4,4,4,4,11,1,2,Cook
7,7,4,7,7,11,3,1,Cook
6,7,7,2,2,1,2,1,Cook
7,7,6,7,6,8,2,2,Cook
6,7,6,3,7,6,6,9,Cook
1,7,7,4,4,2,5,10,Cook
5,5,6,2,7,4,5,3,Chicago
7,5,7,7,7,11,4,1,Cook
7,2,7,3,7,3,6,4,Chicago
6,6,4,1,5,7,5,4,Cook
7,3,4,7,3,4,5,7,Cook
5,6,5,4,4,3,6,7,Other
6,4,4,4,3,3,8,6,Cook
4,4,4,4,4,11,3,4,Cook
6,7,7,7,7,7,5,7,Other
3,7,7,4,4,4,8,10,Chicago
6,7,6,2,6,7,8,10,Cook
6,7,1,1,7,6,6,3,Chicago
6,6,4,2,2,4,5,4,Other
5,5,4,3,5,5,6,1,Cook
7,7,4,3,3,7,5,4,Cook
4,4,4,4,4,9,1,1,Chicago
7,6,6,7,2,10,5,3,Other
6,7,4,4,4,6,3,3,Other
5,5,5,3,5,12,3,1,Other
4,4,4,4,4,5,6,4,Cook
5,6,2,4,1,6,5,12,Other
7,7,4,4,1,11,8,2,Other
6,7,3,6,3,7,6,5,Cook
4,4,4,4,4,9,7,9,Cook
5,2,5,1,1,10,5,3,Other
4,6,4,6,5,9,7,12,Cook
7,7,4,7,1,12,3,1,Lake
6,6,4,2,3,11,6,3,Cook
6,7,4,1,1,11,7,7,Other
7,7,4,2,1,6,8,3,Cook
5,2,3,3,7,4,5,3,Other
4,4,4,4,4,9,3,2,Cook
5,6,4,2,2,4,4,5,Other
4,4,4,1,4,12,2,2,Other
4,2,4,4,2,11,3,1,Cook
5,7,4,2,4,6,6,6,Cook
6,7,5,4,4,7,5,7,Other
6,7,7,4,4,5,6,3,Lake
4,4,4,6,4,12,3,1,Cook
4,6,6,3,5,8,8,8,Cook
5,7,1,2,7,9,5,7,Other
2,7,1,3,7,6,7,8,Cook
6,5,7,4,7,7,4,4,Cook
6,7,4,2,2,4,6,5,Cook
5,5,6,3,2,5,4,3,Cook
3,2,4,1,1,11,6,3,Other
6,7,6,6,7,12,6,8,Lake
7,7,7,7,7,3,7,1,Chicago
6,7,7,4,6,11,5,2,Cook
5,6,4,3,5,6,6,7,Other
6,2,6,6,6,10,4,3,Other
7,7,7,7,7,6,5,2,Lake
4,6,7,5,4,5,5,1,Lake
4,4,4,4,4,5,5,3,Other
6,6,6,6,5,7,8,6,Cook
4,5,5,6,6,10,8,12,Cook
5,5,5,3,4,3,6,8,Other
7,6,3,5,4,10,5,4,DuPage
7,7,3,1,3,9,5,4,Lake
6,6,7,3,4,10,6,10,Lake
5,7,1,1,1,7,7,11,Lake
2,4,4,4,4,8,5,8,Lake
5,7,4,5,2,4,5,1,Cook
6,4,1,4,4,4,2,2,Other
5,5,2,2,6,6,7,12,Lake
5,6,6,4,4,5,8,3,Lake
6,7,6,2,5,3,6,4,Chicago
6,6,4,6,4,4,5,7,Cook
6,7,6,1,1,8,5,4,Cook
6,4,6,5,3,1,4,5,Cook
4,4,4,4,3,7,5,5,Other
6,4,4,4,7,11,5,3,Cook
7,7,1,1,1,9,5,3,Cook
6,6,4,2,2,6,7,7,Other
4,4,4,4,4,5,4,7,Cook
6,7,4,1,1,12,5,1,Cook
