"Cust_ID","invoice_id","order_date","order_channel","n_items","n_categories","revenue","cost","profit"
"AA1279",20715,2009-08-04,"Online",3,2,524,201,323
"AA1279",20828,2009-08-25,"Online",4,3,756,215,541
"AA1279",21078,2009-10-13,"Online",3,3,387,177,210
"AA1279",21379,2009-12-15,"Offline",3,3,290,190,100
"AA1279",21389,2009-12-17,"Offline",3,3,328,142,186
"AA1279",21715,2010-02-16,"Online",3,3,440,280,160
"AA1279",22418,2010-07-06,"Online",1,1,352,75,277
"AA1279",24748,2011-09-29,"Online",3,3,387,177,210
"AA1279",24779,2011-10-06,"Online",3,3,387,177,210
"AA1279",25193,2011-12-15,"Online",1,1,139,105,34
"AA1279",25316,2012-01-07,"Online",3,3,656,210,446
"AA1279",26509,2012-07-27,"Online",3,3,439,247,192
"AA1279",28464,2013-06-07,"Online",1,1,399,327.18,71.82
"AA1279",28935,2013-08-16,"Offline",1,1,299,160,139
"AA1279",29153,2013-09-20,"Offline",2,2,503,171,332
"AA1279",29380,2013-10-30,"Offline",2,2,389,135,254
"AA1279",29445,2013-11-11,"Offline",2,2,990,455,535
"AA1279",29660,2013-12-16,"Offline",7,6,1461,716,745
"AA1279",29961,2014-02-04,"Offline",3,3,338,142,196
"AA1279",30007,2014-02-12,"Online",3,3,1135,771,364
"AA1279",30365,2014-04-09,"Online",3,3,370,335,35
"AA1279",30458,2014-04-24,"Offline",3,3,242,62,180
"AA1279",31283,2014-08-29,"Offline",3,3,300,181,119
"AA1279",31451,2014-09-29,"Offline",3,3,233,81,152
"AA1279",32173,2015-01-13,"Offline",7,6,1374,586,788
"AA1279",32265,2015-01-28,"Offline",3,2,733,528.52,204.48
"AA1279",32340,2015-02-09,"Online",4,4,1285,466,819
"AA1279",32610,2015-03-18,"Offline",2,2,347,94,253
"AA1279",32734,2015-04-08,"Online",4,4,1169,664,505
"AA1279",32824,2015-04-21,"Online",3,3,277,140,137
"AA1279",33451,2015-07-30,"Offline",1,1,139,105,34
"AA1279",33600,2015-08-21,"Online",3,2,702,166,536
"AA1279",33824,2015-09-30,"Offline",3,3,464,225,239
"AA1279",33871,2015-10-07,"Offline",3,3,425,306,119
"AB1745",30805,2014-06-17,"Offline",2,2,604,605,-1
"AB1745",31842,2014-11-26,"Online",2,2,648,610,38
"AB1745",31971,2014-12-16,"Offline",1,1,560,600,-40
"AB1745",32440,2015-02-24,"Offline",4,3,1328,603,725
"AB1745",33348,2015-07-14,"Online",2,2,298,180,118
"AB1838",32831,2015-04-22,"Online",4,3,499,200,299
"AB1838",33614,2015-08-25,"Offline",4,4,511,156,355
"AB1838",33767,2015-09-22,"Online",2,2,208,77,131
"AB1838",34428,2015-12-31,"Offline",4,2,1122,391,731
"AC1229",19489,2008-11-17,"Offline",4,4,1940,843,1097
"AC1229",20170,2009-04-13,"Online",1,1,594,636,-42
"AC1229",20360,2009-05-26,"Online",2,2,309,108,201
"AC1229",23805,2011-03-31,"Offline",2,2,431,142,289
"AC1229",24741,2011-09-29,"Offline",4,4,713,373,340
"AC1229",27342,2012-12-07,"Offline",2,2,202,47,155
"AC1229",27980,2013-03-26,"Online",3,3,7357,3410,3947
"AC1229",30002,2014-02-12,"Online",3,3,319,140,179
"AC1297",21128,2009-10-21,"Offline",3,2,1244,162,1082
"AC1297",22420,2010-07-06,"Online",1,1,295,115,180
"AC1551",26101,2012-05-25,"Offline",2,2,297,192,105
"AC1551",27810,2013-02-28,"Offline",6,3,1197,323,874
"AC1551",28009,2013-04-01,"Offline",3,3,1127,489,638
"AC1880",33644,2015-08-31,"Online",3,3,921,554,367
"ACA680",19693,2008-12-30,"Offline",2,2,508,192,316
"ACA680",20238,2009-04-24,"Offline",4,3,1464,836,628
"ACA680",20244,2009-04-24,"Offline",1,1,41,15,26
"ACA680",20253,2009-04-28,"Offline",1,1,678,500,178
"ACA680",20938,2009-09-16,"Offline",2,2,767,264,503
"ACA680",21245,2009-11-17,"Offline",2,2,637,302,335
"ACA680",21558,2010-01-15,"Offline",2,2,89,80,9
"ACA680",22077,2010-04-26,"Online",5,4,255,77,178
"ACA680",22649,2010-08-18,"Offline",2,2,258,97,161
"ACA680",22715,2010-08-30,"Online",1,1,69,40,29
"ACA888",18872,2008-07-07,"Online",2,2,797,330,467
"ACA888",19158,2008-09-11,"Online",1,1,199,75,124
"ACA888",21515,2010-01-08,"Online",1,1,398,150,248
"ACA888",21829,2010-03-09,"Online",5,3,2092,688,1404
"ACA888",22088,2010-04-28,"Online",4,4,906,347,559
"ACA888",22627,2010-08-13,"Offline",3,3,818,353,465
"ACA888",23154,2010-11-29,"Offline",1,1,159,59,100
"ACA888",23546,2011-02-15,"Online",4,3,1016,310,706
"ACA888",23584,2011-02-22,"Offline",3,3,521,143,378
"ACA888",25389,2012-01-20,"Offline",2,2,443,128,315
"ACA888",25472,2012-02-07,"Offline",7,7,1483,606,877
"ACA888",25780,2012-04-03,"Online",1,1,99,22,77
"ACA888",25799,2012-04-05,"Offline",4,4,968,363,605
"ACA888",26000,2012-05-09,"Online",2,2,304,72,232
